virus	host	realm
Mycobacterium phage Malec	bacteria	Duplodnaviria
Mycobacterium phage Malithi	bacteria	Duplodnaviria
Mycobacterium phage Manad	bacteria	Duplodnaviria
Mycobacterium phage Manatee	bacteria	Duplodnaviria
Mycobacterium phage Mantra	bacteria	Duplodnaviria
Mycobacterium phage Marcell	bacteria	Duplodnaviria
Mycobacterium phage MarkPhew	bacteria	Duplodnaviria
Mycobacterium phage Maroc7	bacteria	Duplodnaviria
Mycobacterium phage Marshawn	bacteria	Duplodnaviria
Mycobacterium phage Marvin	bacteria	Duplodnaviria
Mycobacterium phage Mattes	bacteria	Duplodnaviria
Mycobacterium phage Megiddo	bacteria	Duplodnaviria
Mycobacterium phage Melissauren88	bacteria	Duplodnaviria
Mycobacterium phage Mendokysei	bacteria	Duplodnaviria
Mycobacterium phage Mercurio	bacteria	Duplodnaviria
Mycobacterium phage MiaZeal	bacteria	Duplodnaviria
Mycobacterium phage MichelleMyBell	bacteria	Duplodnaviria
Mycobacterium phage Michley	bacteria	Duplodnaviria
Mycobacterium phage Microwolf	bacteria	Duplodnaviria
Mycobacterium phage MilleniumForce	bacteria	Duplodnaviria
Mycobacterium phage Milly	bacteria	Duplodnaviria
Mycobacterium phage Minerva	bacteria	Duplodnaviria
Mycobacterium phage MinionDave	bacteria	Duplodnaviria
Mycobacterium phage Minnie	bacteria	Duplodnaviria
Mycobacterium phage Miramae	bacteria	Duplodnaviria
Mycobacterium phage Misha28	bacteria	Duplodnaviria
Mycobacterium phage MooMoo	bacteria	Duplodnaviria
Mycobacterium phage MosMoris	bacteria	Duplodnaviria
Mycobacterium phage Mozy	bacteria	Duplodnaviria
Mycobacterium phage MrMagoo	bacteria	Duplodnaviria
Mycobacterium phage Mryolo	bacteria	Duplodnaviria
Mycobacterium phage Muddy	bacteria	Duplodnaviria
Mycobacterium phage Mufasa	bacteria	Duplodnaviria
Mycobacterium phage Mulciber	bacteria	Duplodnaviria
Mycobacterium phage Mundrea	bacteria	Duplodnaviria
Mycobacterium phage Murphy	bacteria	Duplodnaviria
Mycobacterium phage Murucutumbu	bacteria	Duplodnaviria
Mycobacterium phage Museum	bacteria	Duplodnaviria
Mycobacterium phage Mutaforma13	bacteria	Duplodnaviria
Mycobacterium phage MyraDee	bacteria	Duplodnaviria
Mycobacterium phage Myrna	bacteria	Duplodnaviria
Mycobacterium phage NEHalo	bacteria	Duplodnaviria
Mycobacterium phage Naca	bacteria	Duplodnaviria
Mycobacterium phage Nala	bacteria	Duplodnaviria
Mycobacterium phage Nappy	bacteria	Duplodnaviria
Mycobacterium phage NelitzaMV	bacteria	Duplodnaviria
Mycobacterium phage Nerujay	bacteria	Duplodnaviria
Mycobacterium phage Nhonho	bacteria	Duplodnaviria
Mycobacterium phage Nibb	bacteria	Duplodnaviria
Mycobacterium phage Nigel	bacteria	Duplodnaviria
Mycobacterium phage Nimbo	bacteria	Duplodnaviria
Mycobacterium phage Nitzel	bacteria	Duplodnaviria
Mycobacterium phage Nivrat	bacteria	Duplodnaviria
Mycobacterium phage Niza	bacteria	Duplodnaviria
Mycobacterium phage Noelle	bacteria	Duplodnaviria
Mycobacterium phage NoodleTree	bacteria	Duplodnaviria
Mycobacterium phage OSmaximus	bacteria	Duplodnaviria
Mycobacterium phage Oaker	bacteria	Duplodnaviria
Mycobacterium phage Ochi17	bacteria	Duplodnaviria
Mycobacterium phage Ogopogo	bacteria	Duplodnaviria
Mycobacterium phage OkiRoe	bacteria	Duplodnaviria
Mycobacterium phage OldBen	bacteria	Duplodnaviria
Mycobacterium phage Oline	bacteria	Duplodnaviria
Mycobacterium phage OlympiaSaint	bacteria	Duplodnaviria
Mycobacterium phage Omega	bacteria	Duplodnaviria
Mycobacterium phage Omnicron	bacteria	Duplodnaviria
Mycobacterium phage Oogway	bacteria	Duplodnaviria
Mycobacterium phage Optimus	bacteria	Duplodnaviria
Mycobacterium phage Ovechkin	bacteria	Duplodnaviria
Mycobacterium phage OwlsT2W	bacteria	Duplodnaviria
Mycobacterium phage PBI1	bacteria	Duplodnaviria
Mycobacterium phage PMC	bacteria	Duplodnaviria
Mycobacterium phage PP	bacteria	Duplodnaviria
Mycobacterium phage Pacc40	bacteria	Duplodnaviria
Mycobacterium phage PacerPaul	bacteria	Duplodnaviria
Mycobacterium phage Paito	bacteria	Duplodnaviria
Mycobacterium phage Panchino	bacteria	Duplodnaviria
Mycobacterium phage Paola	bacteria	Duplodnaviria
Mycobacterium phage Papez	bacteria	Duplodnaviria
Mycobacterium phage Papyrus	bacteria	Duplodnaviria
Mycobacterium phage Pari	bacteria	Duplodnaviria
Mycobacterium phage Patience	bacteria	Duplodnaviria
Mycobacterium phage Patt	bacteria	Duplodnaviria
Mycobacterium phage PattyP	bacteria	Duplodnaviria
Mycobacterium phage Pepe	bacteria	Duplodnaviria
Mycobacterium phage Perseus	bacteria	Duplodnaviria
Mycobacterium phage Petruchio	bacteria	Duplodnaviria
Mycobacterium phage Phabba	bacteria	Duplodnaviria
Mycobacterium phage Phaded	bacteria	Duplodnaviria
Mycobacterium phage Phaedrus	bacteria	Duplodnaviria
Mycobacterium phage Phantastic	bacteria	Duplodnaviria
Mycobacterium phage Pharaoh	bacteria	Duplodnaviria
Mycobacterium phage Phasih	bacteria	Duplodnaviria
Mycobacterium phage PhatBacter	bacteria	Duplodnaviria
Mycobacterium phage Phatniss	bacteria	Duplodnaviria
Mycobacterium phage Phaux	bacteria	Duplodnaviria
Mycobacterium phage Phayonce	bacteria	Duplodnaviria
Mycobacterium phage Phelemich	bacteria	Duplodnaviria
Mycobacterium phage Reprobate	bacteria	Duplodnaviria
Mycobacterium phage Philonius	bacteria	Duplodnaviria
Mycobacterium phage Phineas	bacteria	Duplodnaviria
Mycobacterium phage Phipps	bacteria	Duplodnaviria
Mycobacterium phage Soto	bacteria	Duplodnaviria
Mycobacterium phage Swish	bacteria	Duplodnaviria
Mycobacterium phage UncleHowie	bacteria	Duplodnaviria
Mycobacterium phage Vista	bacteria	Duplodnaviria
Mycobacterium phage Phlei	bacteria	Duplodnaviria
Mycobacterium phage Phlyer	bacteria	Duplodnaviria
Mycobacterium phage Phrann	bacteria	Duplodnaviria
Mycobacterium phage Phrappuccino	bacteria	Duplodnaviria
Mycobacterium phage PhrostyMug	bacteria	Duplodnaviria
Mycobacterium phage Phrux	bacteria	Duplodnaviria
Mycobacterium phage Pinnie	bacteria	Duplodnaviria
Mycobacterium phage Pinto	bacteria	Duplodnaviria
Mycobacterium phage Pioneer	bacteria	Duplodnaviria
Mycobacterium phage Pipefish	bacteria	Duplodnaviria
Mycobacterium phage Piper2020	bacteria	Duplodnaviria
Mycobacterium phage Pippin	bacteria	Duplodnaviria
Mycobacterium phage Pippy	bacteria	Duplodnaviria
Mycobacterium phage Piro94	bacteria	Duplodnaviria
Mycobacterium phage Pistachio	bacteria	Duplodnaviria
Mycobacterium phage Pita2	bacteria	Duplodnaviria
Mycobacterium phage Pixie	bacteria	Duplodnaviria
Mycobacterium phage ShedlockHolmes	bacteria	Duplodnaviria
Mycobacterium phage Poenanya	bacteria	Duplodnaviria
Mycobacterium phage Polka14	bacteria	Duplodnaviria
Mycobacterium phage Pollywog	bacteria	Duplodnaviria
Mycobacterium phage PopTart	bacteria	Duplodnaviria
Mycobacterium phage Predator	bacteria	Duplodnaviria
Mycobacterium phage Priamo	bacteria	Duplodnaviria
Mycobacterium phage Priscilla	bacteria	Duplodnaviria
Mycobacterium phage Prithvi	bacteria	Duplodnaviria
Mycobacterium phage Pumpkin	bacteria	Duplodnaviria
Mycobacterium phage Purky	bacteria	Duplodnaviria
Mycobacterium phage PurpleHaze	bacteria	Duplodnaviria
Mycobacterium phage QBert	bacteria	Duplodnaviria
Mycobacterium phage Quesadilla	bacteria	Duplodnaviria
Mycobacterium phage QuickMath	bacteria	Duplodnaviria
Mycobacterium phage Quico	bacteria	Duplodnaviria
Mycobacterium phage Quink	bacteria	Duplodnaviria
Mycobacterium phage Rabbs	bacteria	Duplodnaviria
Mycobacterium phage Rajelicia	bacteria	Duplodnaviria
Mycobacterium phage Ramsey	bacteria	Duplodnaviria
Mycobacterium phage Rando14	bacteria	Duplodnaviria
Mycobacterium phage Raymond7	bacteria	Duplodnaviria
Mycobacterium phage Rebel	bacteria	Duplodnaviria
Mycobacterium phage Rebeuca	bacteria	Duplodnaviria
Mycobacterium phage RedRock	bacteria	Duplodnaviria
Mycobacterium phage Redi	bacteria	Duplodnaviria
Mycobacterium phage Redno2	bacteria	Duplodnaviria
Mycobacterium phage Refuge	bacteria	Duplodnaviria
Mycobacterium phage Rem711	bacteria	Duplodnaviria
Mycobacterium phage Renaud18	bacteria	Duplodnaviria
Mycobacterium phage Rey	bacteria	Duplodnaviria
Mycobacterium phage RhynO	bacteria	Duplodnaviria
Mycobacterium phage Rhynn	bacteria	Duplodnaviria
Mycobacterium phage RidgeCB	bacteria	Duplodnaviria
Mycobacterium phage Ringer	bacteria	Duplodnaviria
Mycobacterium phage RitaG	bacteria	Duplodnaviria
Mycobacterium phage RockyHorror	bacteria	Duplodnaviria
Mycobacterium phage Rohr	bacteria	Duplodnaviria
Mycobacterium phage Rosebush	bacteria	Duplodnaviria
Mycobacterium phage Rufus	bacteria	Duplodnaviria
Mycobacterium phage Rumpelstiltskin	bacteria	Duplodnaviria
Mycobacterium phage Ruotula	bacteria	Duplodnaviria
Mycobacterium phage Rutherferd	bacteria	Duplodnaviria
Mycobacterium phage Ryadel	bacteria	Duplodnaviria
Mycobacterium phage SG4	bacteria	Duplodnaviria
Mycobacterium phage SWU1	bacteria	Duplodnaviria
Mycobacterium phage SWU2	bacteria	Duplodnaviria
Mycobacterium phage Saal	bacteria	Duplodnaviria
Mycobacterium phage Sagefire	bacteria	Duplodnaviria
Mycobacterium phage Saguaro	bacteria	Duplodnaviria
Mycobacterium phage Saintus	bacteria	Duplodnaviria
Mycobacterium phage Sandalphon	bacteria	Duplodnaviria
Mycobacterium phage SarFire	bacteria	Duplodnaviria
Mycobacterium phage SassyB	bacteria	Duplodnaviria
Mycobacterium phage Sauce	bacteria	Duplodnaviria
Mycobacterium phage Sbash	bacteria	Duplodnaviria
Mycobacterium phage Scorpia	bacteria	Duplodnaviria
Mycobacterium phage Scowl	bacteria	Duplodnaviria
Mycobacterium phage Seabiscuit	bacteria	Duplodnaviria
Mycobacterium phage Seagreen	bacteria	Duplodnaviria
Mycobacterium phage Sebata	bacteria	Duplodnaviria
Mycobacterium phage Send513	bacteria	Duplodnaviria
Mycobacterium phage Serendipitous	bacteria	Duplodnaviria
Mycobacterium phage Serenity	bacteria	Duplodnaviria
Mycobacterium phage Severus	bacteria	Duplodnaviria
Mycobacterium phage Shandong1	bacteria	Duplodnaviria
Mycobacterium phage Shauna1	bacteria	Duplodnaviria
Mycobacterium phage Sheen	bacteria	Duplodnaviria
Mycobacterium phage ShiLan	bacteria	Duplodnaviria
Mycobacterium phage Shipwreck	bacteria	Duplodnaviria
Mycobacterium phage SiSi	bacteria	Duplodnaviria
Mycobacterium phage Sibs6	bacteria	Duplodnaviria
Mycobacterium phage Silverleaf	bacteria	Duplodnaviria
Mycobacterium phage SimranZ1	bacteria	Duplodnaviria
Mycobacterium phage SirDuracell	bacteria	Duplodnaviria
Mycobacterium phage SirPhilip	bacteria	Duplodnaviria
Mycobacterium phage SkiPole	bacteria	Duplodnaviria
Mycobacterium phage SkinnyPete	bacteria	Duplodnaviria
Mycobacterium phage Smairt	bacteria	Duplodnaviria
Mycobacterium phage Snazzy	bacteria	Duplodnaviria
Mycobacterium phage Sneeze	bacteria	Duplodnaviria
Mycobacterium phage Snenia	bacteria	Duplodnaviria
Mycobacterium phage SoilDragon	bacteria	Duplodnaviria
Mycobacterium phage Solon	bacteria	Duplodnaviria
Mycobacterium phage Soul22	bacteria	Duplodnaviria
Mycobacterium phage Sparkdehlily	bacteria	Duplodnaviria
Mycobacterium phage Sparky	bacteria	Duplodnaviria
Mycobacterium phage Spartacus	bacteria	Duplodnaviria
Mycobacterium phage SpikeBT	bacteria	Duplodnaviria
Mycobacterium phage Spikelee	bacteria	Duplodnaviria
Mycobacterium phage Spoonbill	bacteria	Duplodnaviria
Mycobacterium phage Squirty	bacteria	Duplodnaviria
Mycobacterium phage StAnnes	bacteria	Duplodnaviria
Mycobacterium phage Stasia	bacteria	Duplodnaviria
Mycobacterium phage Steamy	bacteria	Duplodnaviria
Mycobacterium phage Stinger	bacteria	Duplodnaviria
Mycobacterium phage Sumter	bacteria	Duplodnaviria
Mycobacterium phage SuperGrey	bacteria	Duplodnaviria
Mycobacterium phage SwagPigglett	bacteria	Duplodnaviria
Mycobacterium phage SweetiePie	bacteria	Duplodnaviria
Mycobacterium phage Swirley	bacteria	Duplodnaviria
Mycobacterium phage Switzer	bacteria	Duplodnaviria
Mycobacterium phage TChen	bacteria	Duplodnaviria
Mycobacterium phage TDanisky	bacteria	Duplodnaviria
Mycobacterium phage TM4	bacteria	Duplodnaviria
Mycobacterium phage Taheera	bacteria	Duplodnaviria
Mycobacterium phage Taj	bacteria	Duplodnaviria
Mycobacterium phage Tapioca	bacteria	Duplodnaviria
Mycobacterium phage Taquito	bacteria	Duplodnaviria
Mycobacterium phage Tasp14	bacteria	Duplodnaviria
Mycobacterium phage Theia	bacteria	Duplodnaviria
Mycobacterium phage TheloniousMonk	bacteria	Duplodnaviria
Mycobacterium phage ThetaBob	bacteria	Duplodnaviria
Mycobacterium phage Thibault	bacteria	Duplodnaviria
Mycobacterium phage Thonko	bacteria	Duplodnaviria
Mycobacterium phage ThulaThula	bacteria	Duplodnaviria
Mycobacterium phage Thyatira	bacteria	Duplodnaviria
Mycobacterium phage Tiffany	bacteria	Duplodnaviria
Mycobacterium phage Tiger	bacteria	Duplodnaviria
Mycobacterium phage Tonenili	bacteria	Duplodnaviria
Mycobacterium phage Tortellini	bacteria	Duplodnaviria
Mycobacterium phage Tourach	bacteria	Duplodnaviria
Mycobacterium phage Traft412	bacteria	Duplodnaviria
Mycobacterium phage Trike	bacteria	Duplodnaviria
Mycobacterium phage Trixie	bacteria	Duplodnaviria
Mycobacterium phage Trouble	bacteria	Duplodnaviria
Mycobacterium phage Turbido	bacteria	Duplodnaviria
Mycobacterium phage Turj99	bacteria	Duplodnaviria
Mycobacterium phage Tweety	bacteria	Duplodnaviria
Mycobacterium phage Twister	bacteria	Duplodnaviria
Mycobacterium phage Typha	bacteria	Duplodnaviria
Mycobacterium phage U2	bacteria	Duplodnaviria
Mycobacterium phage Unicorn	bacteria	Duplodnaviria
Mycobacterium phage UnionJack	bacteria	Duplodnaviria
Mycobacterium phage Urkel	bacteria	Duplodnaviria
Mycobacterium phage Validus	bacteria	Duplodnaviria
Mycobacterium phage Velveteen	bacteria	Duplodnaviria
Mycobacterium phage Veracruz	bacteria	Duplodnaviria
Mycobacterium phage Veteran	bacteria	Duplodnaviria
Mycobacterium phage Vincenzo	bacteria	Duplodnaviria
Mycobacterium phage Violet	bacteria	Duplodnaviria
Mycobacterium phage Vortex	bacteria	Duplodnaviria
Mycobacterium phage WIVsmall	bacteria	Duplodnaviria
Mycobacterium phage Wachhund	bacteria	Duplodnaviria
Mycobacterium phage Wanda	bacteria	Duplodnaviria
Mycobacterium phage Wee	bacteria	Duplodnaviria
Mycobacterium phage Weirdo19	bacteria	Duplodnaviria
Mycobacterium phage Wheeler	bacteria	Duplodnaviria
Mycobacterium phage Whirlwind	bacteria	Duplodnaviria
Mycobacterium phage Whouxphf	bacteria	Duplodnaviria
Mycobacterium phage Wildcat	bacteria	Duplodnaviria
Mycobacterium phage WillSterrel	bacteria	Duplodnaviria
Mycobacterium phage Willsammy	bacteria	Duplodnaviria
Mycobacterium phage XFactor	bacteria	Duplodnaviria
Mycobacterium phage Xavia	bacteria	Duplodnaviria
Mycobacterium phage Xeno	bacteria	Duplodnaviria
Mycobacterium phage Ximenita	bacteria	Duplodnaviria
Mycobacterium phage Xula	bacteria	Duplodnaviria
Mycobacterium phage Yecey3	bacteria	Duplodnaviria
Mycobacterium phage Yoshi	bacteria	Duplodnaviria
Mycobacterium phage Yuna	bacteria	Duplodnaviria
Mycobacterium phage Yunkel11	bacteria	Duplodnaviria
Mycobacterium phage Zaka	bacteria	Duplodnaviria
Mycobacterium phage Zapner	bacteria	Duplodnaviria
Mycobacterium phage Zemanar	bacteria	Duplodnaviria
Mycobacterium phage Zerg	bacteria	Duplodnaviria
Mycobacterium phage Zetzy	bacteria	Duplodnaviria
Mycobacterium phage ZoeJ	bacteria	Duplodnaviria
Mycobacterium phage Zolita	bacteria	Duplodnaviria
Mycobacterium phage macncheese	bacteria	Duplodnaviria
Mydovirus KpS8	bacteria	Duplodnaviria
Myotis gammaherpesvirus 8	vertebrates	Duplodnaviria
Myoviridae sp.	bacteria	Duplodnaviria
Myxococcus phage Mx8	bacteria	Duplodnaviria
Natrialba phage PhiCh1	archaea	Duplodnaviria
Nitrincola phage 1M3-16	bacteria	Duplodnaviria
Nocardia phage NBR1	bacteria	Duplodnaviria
Nodularia phage vB_NspS-kac65v151	bacteria	Duplodnaviria
Nodularia phage vB_NspS-kac68v161	bacteria	Duplodnaviria
Nonlabens phage P12024L	bacteria	Duplodnaviria
Nonlabens phage P12024S	bacteria	Duplodnaviria
Oenococcus phage phi9805	bacteria	Duplodnaviria
Oenococcus phage phiS11	bacteria	Duplodnaviria
Oenococcus phage phiS13	bacteria	Duplodnaviria
Ovine gammaherpesvirus 2	vertebrates	Duplodnaviria
Paenibacillus phage BN12	bacteria	Duplodnaviria
Paenibacillus phage C7Cdelta	bacteria	Duplodnaviria
Paenibacillus phage Diva	bacteria	Duplodnaviria
Paenibacillus phage Dragolir	bacteria	Duplodnaviria
Paenibacillus phage Eltigre	bacteria	Duplodnaviria
Paenibacillus phage HB10c2	bacteria	Duplodnaviria
Paenibacillus phage Halcyone	bacteria	Duplodnaviria
Paenibacillus phage Harrison	bacteria	Duplodnaviria
Paenibacillus phage Jacopo	bacteria	Duplodnaviria
Paenibacillus phage Kawika	bacteria	Duplodnaviria
Paenibacillus phage Leyra	bacteria	Duplodnaviria
Paenibacillus phage Likha	bacteria	Duplodnaviria
Paenibacillus phage Lucielle	bacteria	Duplodnaviria
Paenibacillus phage PBL1c	bacteria	Duplodnaviria
Paenibacillus phage PG1	bacteria	Duplodnaviria
Paenibacillus phage Pagassa	bacteria	Duplodnaviria
Paenibacillus phage Rani	bacteria	Duplodnaviria
Paenibacillus phage Scottie	bacteria	Duplodnaviria
Paenibacillus phage Shelly	bacteria	Duplodnaviria
Paenibacillus phage Xenia	bacteria	Duplodnaviria
Paenibacillus phage Sitara	bacteria	Duplodnaviria
Paenibacillus phage Tadhana	bacteria	Duplodnaviria
Paenibacillus phage Tripp	bacteria	Duplodnaviria
Paenibacillus phage Unity	bacteria	Duplodnaviria
Paenibacillus phage Vegas	bacteria	Duplodnaviria
Paenibacillus phage Wanderer	bacteria	Duplodnaviria
Paenibacillus phage Yyerffej	bacteria	Duplodnaviria
Paenibacillus phage phiIBB_P123	bacteria	Duplodnaviria
Panine betaherpesvirus 2	vertebrates	Duplodnaviria
Pantoea phage LIMElight	bacteria	Duplodnaviria
Pantoea phage LIMEzero	bacteria	Duplodnaviria
Pantoea phage vB_PagM_AAM37	bacteria	Duplodnaviria
Pantoea phage vB_PagM_LIET2	bacteria	Duplodnaviria
Pantoea phage vB_PagM_PSKM	bacteria	Duplodnaviria
Pantoea phage vB_PagM_SSEM1	bacteria	Duplodnaviria
Pantoea phage vB_PagS_AAS23	bacteria	Duplodnaviria
Pantoea phage vB_PagS_Vid5	bacteria	Duplodnaviria
Papiine alphaherpesvirus 2	human:vertebrates	Duplodnaviria
Papiine gammaherpesvirus 1	vertebrates	Duplodnaviria
Paracoccus phage vB_PmaS-R3	bacteria	Duplodnaviria
Pasteurella phage F108	bacteria	Duplodnaviria
Pasteurella phage PHB01	bacteria	Duplodnaviria
Pasteurella phage vB_PmuP_PHB02	bacteria	Duplodnaviria
Pbunavirus PA8P1	bacteria	Duplodnaviria
Pectinobacterium phage vB_PcaM_CBB	bacteria	Duplodnaviria
Pectobacterium phage Arno160	bacteria	Duplodnaviria
Pectobacterium phage Clickz	bacteria	Duplodnaviria
Pectobacterium phage DU_PP_II	bacteria	Duplodnaviria
Pectobacterium phage DU_PP_V	bacteria	Duplodnaviria
Pectobacterium phage Gaspode	bacteria	Duplodnaviria
Pectobacterium phage Jarilo	bacteria	Duplodnaviria
Pectobacterium phage Khlen	bacteria	Duplodnaviria
Pectobacterium phage Koot	bacteria	Duplodnaviria
Pectobacterium phage Lelidair	bacteria	Duplodnaviria
Pectobacterium phage MA11	bacteria	Duplodnaviria
Pectobacterium phage MA12	bacteria	Duplodnaviria
Pectobacterium phage My1	bacteria	Duplodnaviria
Pectobacterium phage Nepra	bacteria	Duplodnaviria
Pectobacterium phage Nobby	bacteria	Duplodnaviria
Pectobacterium phage PM1	bacteria	Duplodnaviria
Pectobacterium phage PP1	bacteria	Duplodnaviria
Pectobacterium phage PP101	bacteria	Duplodnaviria
Pectobacterium phage PP16	bacteria	Duplodnaviria
Pectobacterium phage PP2	bacteria	Duplodnaviria
Pectobacterium phage PP47	bacteria	Duplodnaviria
Pectobacterium phage PP74	bacteria	Duplodnaviria
Pectobacterium phage PP81	bacteria	Duplodnaviria
Pectobacterium phage PP90	bacteria	Duplodnaviria
Pectobacterium phage PP99	bacteria	Duplodnaviria
Pectobacterium phage PPWS2	bacteria	Duplodnaviria
Pectobacterium phage PPWS4	bacteria	Duplodnaviria
Pectobacterium phage Peat1	bacteria	Duplodnaviria
Pectobacterium phage PhiM1	bacteria	Duplodnaviria
Pectobacterium phage Phoria	bacteria	Duplodnaviria
Pectobacterium phage ZF40	bacteria	Duplodnaviria
Pectobacterium phage Zenivior	bacteria	Duplodnaviria
Pectobacterium phage phiA41	bacteria	Duplodnaviria
Pectobacterium phage phiTE	bacteria	Duplodnaviria
Pectobacterium phage vB_PatP_CB1	bacteria	Duplodnaviria
Pectobacterium phage vB_PatP_CB4	bacteria	Duplodnaviria
Pectobacterium phage vB_PatP_CB5	bacteria	Duplodnaviria
Pediococcus phage cIP1	bacteria	Duplodnaviria
Peduovirus L413C	bacteria	Duplodnaviria
Peeveelvirus pv13	bacteria	Duplodnaviria
Pelagibacter phage HTVC008M	bacteria	Duplodnaviria
Pelagibacter phage HTVC010P	bacteria	Duplodnaviria
Pelagibacter phage HTVC011P	bacteria	Duplodnaviria
Pelagibacter phage HTVC019P	bacteria	Duplodnaviria
Phage MedPE-SWcel-C56	bacteria	Duplodnaviria
Phascolarctid gammaherpesvirus 1	vertebrates	Duplodnaviria
