virus	type	shape
Mungbean yellow mosaic virus	DNA	circular
Northern cereal mosaic cytorhabdovirus	RNA	linear
Chicken anemia virus	DNA	circular
Tomato leaf curl Kumasi virus	DNA	circular
Cycad leaf necrosis virus	DNA	circular
Tomato rugose mosaic virus	DNA	circular
Sweet potato feathery mottle virus	RNA	linear
Bunyamwera virus	RNA	linear
Papaya leaf curl China virus	DNA	circular
Vesicular stomatitis Indiana virus	RNA	linear
Macacine alphaherpesvirus 1	DNA	linear
Suid alphaherpesvirus 1	DNA	linear
Grapevine virus E	RNA	linear
Human gammaherpesvirus 4	DNA	circular
Atkinsonella hypoxylon virus	RNA	linear
Mycoreovirus 1	RNA	linear
Seoul orthohantavirus	RNA	linear
Tomato yellow leaf curl Kanchanaburi virus	DNA	circular
Bean golden yellow mosaic virus	DNA	circular
Clanis bilineata nucleopolyhedrovirus	DNA	linear
Tursiops truncatus papillomavirus 1	DNA	circular
Watermelon chlorotic stunt virus	DNA	circular
Watermelon chlorotic stunt virus	DNA	circular
Pseudomonas phage Pf3	DNA	circular
Vibrio phage fs2	DNA	linear
South African cassava mosaic virus	DNA	circular
South African cassava mosaic virus	DNA	circular
Gallid alphaherpesvirus 2	DNA	linear
Gallid alphaherpesvirus 3	DNA	linear
Apple mosaic virus	RNA	linear
Apple mosaic virus	RNA	linear
Deltapapillomavirus 4	DNA	circular
Faba bean necrotic yellows virus	DNA	circular
Equus caballus papillomavirus 1	DNA	linear
Mupapillomavirus 1	DNA	circular
Human papillomavirus type 6b	DNA	circular
Cucurbit leaf crumple virus	DNA	circular
Cucurbit leaf crumple virus	DNA	circular
Pepper leaf curl Lahore Virus-[Pakistan:Lahore1:2004]	DNA	circular
Fiji disease virus	RNA	linear
Fiji disease virus	RNA	linear
Mal de Rio Cuarto virus	RNA	linear
Citrus leprosis virus C	RNA	linear
Cotesia congregata bracovirus	DNA	circular
Cleome leaf crumple alphasatellite	DNA	circular
Indian citrus ringspot virus	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Potato yellow vein virus	RNA	linear
Simian hemorrhagic fever virus	RNA	linear
Bamboo mosaic virus	RNA	linear
Johnsongrass chlorotic stripe mosaic virus	RNA	linear
Arabis mosaic virus	RNA	linear
Mal de Rio Cuarto virus	DNA	linear
Solenopsis invicta virus 1	RNA	linear
Vicia faba alphaendornavirus	RNA	linear
Crow polyomavirus	DNA	circular
Tomato torrado virus	RNA	linear
Chlamydia phage CPG1	DNA	circular
Turnip vein-clearing virus	RNA	linear
Trichoplusia ni cypovirus 15	RNA	linear
Saccharomyces cerevisiae virus L-A	RNA	linear
Indian peanut clump virus	RNA	linear
Cotesia congregata bracovirus	DNA	circular
Canis familiaris papillomavirus 3	DNA	circular
Ageratum leaf curl virus - [G52]	DNA	circular
Malvastrum leaf curl virus-associated defective DNA beta	DNA	circular
Malvastrum leaf curl betasatellite	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Rice black streaked dwarf virus	RNA	linear
Soybean crinkle leaf virus	DNA	circular
Okra leaf curl alphasatellite	DNA	circular
Cherry rasp leaf virus	RNA	linear
Spiroplasma virus SpV4	DNA	circular
Strawberry mottle virus	RNA	linear
Human respirovirus 1	RNA	linear
Honeysuckle ringspot virus	RNA	linear
Night heron coronavirus HKU19	RNA	linear
Aedes pseudoscutellaris reovirus	RNA	linear
Peruvian horse sickness virus	RNA	linear
Penicillium stoloniferum virus S	RNA	linear
Thunberg fritillary mosaic virus	RNA	linear
Rice gall dwarf virus	RNA	linear
Rousettus aegyptiacus papillomavirus 1	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Porcine parvovirus 4	DNA	linear
Torque teno canis virus	DNA	circular
Beet western yellows virus	RNA	linear
Lupinus mosaic virus	RNA	linear
Cereal yellow dwarf virus-RPV satellite RNA	RNA	circular
Papaya leaf curl virus	DNA	circular
Feline calicivirus	RNA	linear
Pelargonium zonate spot virus	RNA	linear
Pelargonium zonate spot virus	RNA	linear
Nilaparvata lugens reovirus	RNA	linear
Nilaparvata lugens reovirus	RNA	linear
Lily virus X	RNA	linear
Anticarsia gemmatalis nucleopolyhedrovirus	DNA	circular
Banana streak virus Acuminata Yunnan	DNA	circular
Ranid herpesvirus 1	DNA	linear
Daphne virus S	RNA	linear
Fragaria chiloensis latent virus	RNA	linear
Glypta fumiferanae ichnovirus	DNA	circular
Tomato leaf curl Sinaloa virus	DNA	circular
Liao ning virus	RNA	linear
Ophiostoma mitovirus 5	RNA	linear
GB virus C	RNA	linear
Senecio yellow mosaic virus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Torque teno virus 2	DNA	linear
Pepino mosaic virus	RNA	linear
Tioman virus	RNA	linear
La Crosse virus	RNA	linear
Latino mammarenavirus	RNA	linear
Nilaparvata lugens reovirus	RNA	linear
Nilaparvata lugens reovirus	RNA	linear
Nilaparvata lugens reovirus	RNA	linear
Pestivirus giraffe-1 H138	RNA	linear
Rotavirus C	RNA	linear
Chino del tomate virus	DNA	circular
Spleen focus-forming virus	RNA	linear
Murine osteosarcoma virus	RNA	linear
Gibbon ape leukemia virus	RNA	linear
Macroptilium yellow spot virus	DNA	circular
Hyposoter fugitivus ichnovirus	DNA	circular
Small anellovirus 2	DNA	circular
Banana streak MY virus	DNA	circular
Homalodisca coagulata virus 1	RNA	linear
Infectious flacherie virus	RNA	linear
Impatiens necrotic spot virus	RNA	linear
Sida leaf curl virus-associated DNA beta	DNA	circular
Malvastrum yellow vein Yunnan virus	DNA	circular
Escherichia virus Qbeta	RNA	linear
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Cotesia congregata bracovirus	DNA	circular
Tomato yellow leaf curl Kanchanaburi virus	DNA	circular
Papaya leaf distortion mosaic virus	RNA	linear
Chino del tomate virus	DNA	circular
Squash leaf curl China virus	DNA	circular
Rice ragged stunt virus	RNA	linear
Spinach latent virus	RNA	linear
Papaya ringspot virus	RNA	linear
Rabbit hemorrhagic disease virus	RNA	linear
Macroptilium yellow vein virus	DNA	circular
Macroptilium yellow net virus	DNA	circular
Cupixi mammarenavirus	RNA	linear
Tomato leaf curl Ghana virus	DNA	circular
Tamiami mammarenavirus	RNA	linear
Capsicum chlorosis virus	RNA	linear
Turkey coronavirus	RNA	linear
Chronic bee paralysis virus	RNA	linear
Potato apical leaf curl disease-associated satellite DNA beta	DNA	circular
Cucumber mottle virus	RNA	linear
Vaccinia virus	DNA	linear
Bluetongue virus	RNA	linear
Bluetongue virus	RNA	linear
Bluetongue virus	RNA	linear
Teschovirus A	RNA	linear
Solanum nodiflorum mottle virus satellite RNA	RNA	circular
Squash yellow mild mottle virus	DNA	circular
Ageratum yellow vein Hualian virus	DNA	linear
Tomato yellow vein streak virus	DNA	circular
Murine mastadenovirus A	DNA	linear
Mulberry small circular viroid-like RNA 1	RNA	circular
Helminthosporium victoriae 145S virus	RNA	linear
Squash yellow mild mottle virus	DNA	circular
Beet mosaic virus	RNA	linear
Gremmeniella abietina RNA virus L1	RNA	linear
Citrus leaf blotch virus	RNA	linear
Fusarium poae virus 1	RNA	linear
Fusarium solani virus 1	RNA	linear
Tobacco ringspot virus satellite RNA	RNA	circular
Clitocybe odora virus	RNA	linear
Cassava mosaic Madagascar virus	DNA	circular
Bovine mastadenovirus B	DNA	linear
Dendrolimus punctatus virus	RNA	linear
Turkey astrovirus 2	RNA	linear
Mamestra configurata nucleopolyhedrovirus A	DNA	circular
Banana streak OL virus	DNA	circular
Ceratocystis polonica partitivirus	RNA	linear
La Crosse virus	RNA	linear
RD114 retrovirus	DNA	linear
Bocavirus gorilla/GBoV1/2009	DNA	linear
Spissistilus festinus virus 1	RNA	linear
Circulifer tenellus virus 1	RNA	linear
Trichodysplasia spinulosa-associated polyomavirus	DNA	circular
Torque teno sus virus k2a	DNA	circular
Faba bean necrotic stunt virus	DNA	circular
Faba bean necrotic stunt virus	DNA	circular
Faba bean necrotic stunt virus	DNA	circular
Faba bean necrotic stunt virus	DNA	circular
Faba bean necrotic stunt virus	DNA	circular
Tomato marchitez virus	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Aroa virus	RNA	linear
Influenza A virus (A/Korea/426/1968(H2N2))	RNA	linear
Banna virus strain JKT-6423	RNA	linear
Tomato yellow dwarf disease associated satellite DNA beta-[Kochi]	DNA	circular
Tomato marchitez virus	RNA	linear
Alternaria alternata virus 1	RNA	linear
Alternaria alternata virus 1	RNA	linear
Alternaria alternata virus 1	RNA	linear
Southern rice black-streaked dwarf virus	RNA	linear
Butterbur mosaic virus	RNA	linear
Bos taurus polyomavirus 1	DNA	circular
Pelargonium vein banding virus	DNA	circular
Curvularia thermal tolerance virus	RNA	linear
Rotavirus D chicken/05V0049/DEU/2005	RNA	linear
Cowpea mild mottle virus	RNA	linear
Raspberry latent virus	RNA	linear
Hyposoter fugitivus ichnovirus	DNA	circular
Cotton leaf curl Gezira alphasatellite	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Citrus viroid V	RNA	circular
Malva mosaic virus	RNA	linear
Canis familiaris papillomavirus 6	DNA	circular
Southern tomato virus	RNA	linear
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Sapovirus C12	RNA	linear
Morogoro mammarenavirus	RNA	linear
Astrovirus VA1	RNA	linear
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Woolly monkey sarcoma virus	DNA	linear
Chrysodeixis chalcites nucleopolyhedrovirus	DNA	circular
Uukuniemi virus	RNA	linear
Human herpesvirus 4 type 2	DNA	circular
Vibrio phage KSF1	DNA	circular
Influenza C virus (C/Ann Arbor/1/50)	RNA	linear
Yunnan orbivirus	RNA	linear
Bhendi yellow vein betasatellite	DNA	linear
Rhynchosia golden mosaic Yucatan virus	DNA	circular
Kudzu mosaic virus	DNA	circular
Spilanthes yellow vein virus	DNA	circular
Mimosa yellow leaf curl virus	DNA	circular
Sida yellow vein Vietnam virus	DNA	circular
Erectites yellow mosaic virus	DNA	circular
Faba bean necrotic yellows C9 alphasatellite	DNA	circular
Tomato chocolate spot virus	RNA	linear
Tomato chocolate spot virus	RNA	linear
Sida yellow vein Vietnam alphasatellite	DNA	circular
Mimosa yellow leaf curl virus-associated DNA 1	DNA	circular
Mimosa yellow leaf curl virus satellite DNA beta	DNA	circular
Sida yellow vein Vietnam virus satellite DNA beta	DNA	circular
Enterobacteria phage WA13 sensu lato	DNA	circular
Enterobacteria phage ID18 sensu lato	DNA	circular
Bitter gourd leaf curl betasatellite	DNA	circular
Sandfly fever Naples virus	RNA	linear
Alternanthera yellow vein virus	DNA	circular
WU Polyomavirus	DNA	circular
Groundnut rosette virus satellite RNA	RNA	linear
Gayfeather mild mottle virus	RNA	linear
Pedilanthus leaf curl virus	DNA	circular
Influenza A virus (A/California/07/2009(H1N1))	RNA	linear
Raven circovirus	DNA	circular
Papiine alphaherpesvirus 2	DNA	linear
Centrosema yellow spot virus	DNA	circular
Macroptilium yellow net virus	DNA	circular
Dioscorea bacilliform virus	DNA	circular
Ectropis obliqua nucleopolyhedrovirus	DNA	circular
Barley yellow dwarf virus GAV	RNA	linear
Peruvian horse sickness virus	RNA	linear
Duck astrovirus C-NGB	RNA	linear
human papillomavirus 103	DNA	circular
Narcissus symptomless virus	RNA	linear
Ranid herpesvirus 2	DNA	linear
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Tomato leaf curl Kerala virus	DNA	linear
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Faba bean necrotic stunt virus	DNA	circular
Fig badnavirus 1	DNA	circular
Tomato necrotic stunt virus	RNA	linear
Equid alphaherpesvirus 8	DNA	linear
Wheat dwarf India virus	DNA	circular
Feline bocavirus	DNA	linear
Cotton leaf curl betasatellite	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Apple dimple fruit viroid	RNA	circular
Armigeres subalbatus virus SaX06-AK20	RNA	linear
Potato yellow dwarf nucleorhabdovirus	RNA	linear
Okra leaf curl Mali virus satellite DNA beta	DNA	circular
Sida golden mosaic Honduras virus	DNA	circular
Tula orthohantavirus	RNA	linear
Kashmir bee virus	RNA	linear
Taura syndrome virus	RNA	linear
Potato latent virus	RNA	linear
Wongabel hapavirus	RNA	linear
Oliveros mammarenavirus	RNA	linear
Oliveros mammarenavirus	RNA	linear
Amapari virus	RNA	linear
Allpahuayo mammarenavirus	RNA	linear
Bear Canyon mammarenavirus	RNA	linear
Human betaherpesvirus 5	DNA	linear
Sweet potato pakakuy virus	DNA	linear
Soybean yellow mottle mosaic virus	RNA	linear
Equid alphaherpesvirus 9	DNA	linear
Hibiscus green spot virus 2	RNA	linear
Hibiscus green spot virus 2	RNA	linear
Pepper ringspot virus	RNA	linear
Bluetongue virus	RNA	linear
Banana bunchy top virus	DNA	circular
Banana bunchy top virus	DNA	circular
Mus musculus papillomavirus type 1	DNA	circular
Pepper yellow mosaic virus	RNA	linear
Ageratum leaf curl Cameroon betasatellite	DNA	circular
Lettuce chlorosis virus	RNA	linear
Influenza A virus (A/California/07/2009(H1N1))	RNA	linear
Influenza A virus (A/California/07/2009(H1N1))	RNA	linear
Influenza A virus (A/California/07/2009(H1N1))	RNA	linear
Influenza A virus (A/California/07/2009(H1N1))	RNA	linear
Influenza A virus (A/California/07/2009(H1N1))	RNA	linear
Hop stunt viroid	RNA	circular
Honeysuckle yellow vein virus	DNA	circular
Mycoreovirus 1	RNA	linear
Potato yellow mosaic Trinidad virus	DNA	circular
Potato yellow mosaic Trinidad virus	DNA	circular
Dobrava-Belgrade orthohantavirus	RNA	linear
Vibrio virus fs1	DNA	circular
Lujo mammarenavirus	RNA	linear
Mapuera orthorubulavirus	RNA	linear
Vibrio virus Vf33	DNA	circular
Rotavirus C	RNA	linear
Rice black streaked dwarf virus	RNA	linear
Rice black streaked dwarf virus	RNA	linear
Feline infectious peritonitis virus	RNA	linear
Amapari virus	RNA	linear
Bovine leukemia virus	RNA	linear
Tomato leaf curl Sudan virus	DNA	circular
Escherichia phage St-1	DNA	circular
Cucumber mosaic virus	RNA	linear
Cymbidium ringspot virus satellite RNA	RNA	linear
Nilaparvata lugens reovirus	RNA	linear
Macaca fascicularis papillomavirus 2	DNA	circular
Colobus guereza papillomavirus 2	DNA	circular
Clover yellow mosaic virus	RNA	linear
Bean dwarf mosaic virus	DNA	circular
Tobacco bushy top virus satellite-like RNA	RNA	linear
Pepper huasteco yellow vein virus	DNA	circular
Bean dwarf mosaic virus	DNA	circular
Chlamydia virus Chp1	DNA	circular
Rice gall dwarf virus	RNA	linear
Crimean-Congo hemorrhagic fever orthonairovirus	RNA	linear
Beet necrotic yellow vein virus	RNA	linear
Japanese iris necrotic ring virus	RNA	linear
Cypovirus 14	RNA	linear
Tomato golden mosaic virus	DNA	circular
Cypovirus 14	RNA	linear
Cypovirus 14	RNA	linear
Cypovirus 14	RNA	linear
Faba bean necrotic yellows virus	DNA	circular
Oat mosaic virus	RNA	linear
Dugbe orthonairovirus	RNA	linear
Crimean-Congo hemorrhagic fever orthonairovirus	RNA	linear
Rhynchosia golden mosaic virus	DNA	circular
Abaca bunchy top virus	DNA	circular
Abaca bunchy top virus	DNA	circular
Abaca bunchy top virus	DNA	circular
Abaca bunchy top virus	DNA	circular
Abaca bunchy top virus	DNA	circular
Trichoplusia ni single nucleopolyhedrovirus	DNA	circular
Potato spindle tuber viroid	RNA	circular
Tomato yellow leaf curl China virus	DNA	circular
Tomato leaf curl China betasatellite	DNA	circular
Barmah Forest virus	RNA	linear
Indian cassava mosaic virus	DNA	circular
Rice grassy stunt tenuivirus	RNA	linear
Human adenovirus 2	DNA	linear
Abaca bunchy top virus	DNA	circular
Whitewater Arroyo mammarenavirus	RNA	linear
Macroptilium yellow mosaic virus	DNA	circular
Canine parvovirus	DNA	linear
Clerodendron golden mosaic virus	DNA	circular
American grass carp reovirus	RNA	linear
Cypovirus 5	RNA	linear
Sri Lankan cassava mosaic virus-[Colombo]	DNA	circular
Rice grassy stunt tenuivirus	RNA	linear
Soil-borne cereal mosaic virus	RNA	linear
Chinese wheat mosaic virus	RNA	linear
Barley yellow dwarf virus PAS	RNA	linear
Blackberry virus E	RNA	linear
Helicoverpa armigera densovirus	DNA	linear
Peach chlorotic mottle virus	RNA	linear
Ursus maritimus papillomavirus 1	DNA	circular
Rice grassy stunt tenuivirus	RNA	linear
Alcelaphine gammaherpesvirus 1	DNA	linear
Cypovirus 14	RNA	linear
Bean golden yellow mosaic virus	DNA	circular
Human papillomavirus type 92	DNA	linear
Potato yellow vein virus	RNA	linear
Horsegram yellow mosaic virus	DNA	circular
Spodoptera litura nucleopolyhedrovirus II	DNA	circular
Tiger puffer nervous necrosis virus	RNA	linear
Tobacco mild green mosaic virus	RNA	linear
Citrus variegation virus	RNA	linear
Beak and feather disease virus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Highlands J virus	RNA	linear
Raspberry leaf mottle virus	RNA	linear
Rhinovirus A	RNA	linear
Boolarra virus	RNA	linear
White clover mosaic virus	RNA	linear
Thottopalayam virus	RNA	linear
Tomato mottle Taino virus	DNA	circular
Oat necrotic mottle virus	RNA	linear
Thielaviopsis basicola mitovirus	RNA	linear
Bluetongue virus	RNA	linear
Milk vetch dwarf virus	DNA	circular
Chinese wheat mosaic virus	RNA	linear
Pseudomonas phage phi8	RNA	linear
Pseudomonas phage phi8	RNA	linear
Pseudomonas phage phi8	RNA	linear
Malvastrum leaf curl virus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
